id;name;status;created_on;created_by;updated_on;updated_by
1;Virtual;wireless bus Tools;2023-03-15T16:47:49;4th metrics;2023-03-15T23:52:25;dynamic CFA blue
2;navigating Hat Savings;Consultant solution-oriented;2023-03-15T22:36:14;Avon Account;2023-03-16T00:32:18;application
3;hour channels Granite;User-friendly;2023-03-15T09:04:03;Alabama;2023-03-15T22:05:07;deposit Executive
4;salmon Cotton withdrawal;Computer;2023-03-15T12:54:51;Identity;2023-03-15T20:24:29;program Grocery azure
5;Licensed Borders Towels;back-end;2023-03-16T03:58:16;Card copy payment;2023-03-16T04:51:48;Clothing USB RAM
6;Berkshire quantifying Sausages;asymmetric;2023-03-15T21:58:32;Fundamental matrix Lithuania;2023-03-15T23:21:36;deposit
7;salmon;streamline;2023-03-15T21:57:14;face Investment Shoes;2023-03-15T14:21:41;Shoes
8;orchestrate Berkshire;Fresh;2023-03-15T21:24:29;neural hack Cambridgeshire;2023-03-16T04:40:39;Panama Pants Georgia
9;networks Assistant Account;indigo Fresh;2023-03-16T03:28:27;Unbranded payment;2023-03-15T13:32:57;Tasty
10;Legacy success;online channels Technician;2023-03-15T08:25:05;client-server;2023-03-15T22:36:37;payment incubate
